SQLDATE,YEAR,MonthYear,Actor1Name,Actor1Type1Code,Actor2Name,Actor2Type1Code,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
20250101,2025,202501,BENIN,,NIGER,GOV,140,140,14,3,-6.5,10,1,10,-5.58139534883721,1,Benin,BN,BN,9.5,2.25,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,2025,202501,POLICE,COP,KIDNAPPER,CRM,173,173,17,4,-5.0,10,1,10,-5.30503978779841,1,Benin,BN,BN,9.5,2.25,https://quicknews-africa.net/police-nab-suspected-kidnapper-in-delta-recover-ammunition-cash/
20250101,2025,202501,NIGERIEN,,BENIN,,43,43,4,1,2.8,2,1,2,-5.58139534883721,1,Benin,BN,BN,9.5,2.25,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,2025,202501,NIGERIEN,,BENINESE,GOV,43,43,4,1,2.8,8,1,8,-5.58139534883721,1,Benin,BN,BN,9.5,2.25,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,2025,202501,BENIN,,NIGER,GOV,40,40,4,1,1.0,2,1,2,-4.59770114942529,1,Benin,BN,BN,9.5,2.25,https://guardian.ng/news/benin-republic-protests-nigers-claim-of-backing-terrorists-summons-diplomat/
20250101,2025,202501,BENIN,,NIGERIEN,,42,42,4,1,1.9,2,1,2,-5.58139534883721,1,Benin,BN,BN,9.5,2.25,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,2025,202501,BENINESE,,NIGERIEN,,114,114,11,3,-2.0,2,1,2,-5.58139534883721,1,Benin,BN,BN,9.5,2.25,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,2025,202501,BENINESE,GOV,NIGERIEN,,42,42,4,1,1.9,8,1,8,-5.58139534883721,1,Benin,BN,BN,9.5,2.25,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250102,2025,202501,BENIN,,,,51,51,5,1,3.4,10,1,10,-8.51735015772872,1,Benin,BN,BN,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations-2/
20250102,2025,202501,BENIN,GOV,,,10,10,1,1,0.0,5,1,5,-8.51735015772872,1,Benin,BN,BN,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations-2/
20250102,2025,202501,MINISTRY,GOV,,,16,16,1,1,-2.0,10,1,10,-8.51735015772872,1,Benin,BN,BN,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations-2/
20250102,2025,202501,MINISTRY,GOV,,,111,111,11,3,-2.0,10,1,10,-8.51735015772872,1,Benin,BN,BN,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations-2/
20250102,2025,202501,,,BENIN,,10,10,1,1,0.0,5,1,5,-8.51735015772872,1,Benin,BN,BN,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations-2/
20250102,2025,202501,,,BENIN,,141,141,14,3,-6.5,5,1,5,-8.51735015772872,1,Benin,BN,BN,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations-2/
20250102,2025,202501,BENIN,,,,20,20,2,1,3.0,10,1,10,1.09649122807017,4,"Allada, Benin (general), Benin",BN,BN00,6.66547,2.15138,https://icilome.com/2025/01/benin-patrice-talon-envoie-un-message-subtil-a-ses-voisins-de-laes/
20250102,2025,202501,BENIN,,,,40,40,4,1,1.0,10,1,10,1.09649122807017,4,"Allada, Benin (general), Benin",BN,BN00,6.66547,2.15138,https://icilome.com/2025/01/benin-patrice-talon-envoie-un-message-subtil-a-ses-voisins-de-laes/
